,,REGION,PROVINCE,CITY/ MUNICIPALITY,"BLDG OR HOUSE NO., STREET, BRGY (as applicable)",NAME OF FACILITY,OWNERSHIP,OWNERSHIP CLASS,CLASS,SERVCE CAPABILITY,ABC,CONTACT NOS.,E-MAIL ADDRESS,VALIDITY FROM,VALIDITY UNTIL
,329,REGION 4-A,Laguna,San Pedro City,"National Highway, Landayan, City Of San Pedro, Laguna","SAN PEDRO DOCTORS HOSPITAL, INC.",Private,N/A,General,Level 1,27,(02) 88681961/ 09209269385,spdhi1998@gmail.com,1/1/2025,12/31/2025
,330,REGION 4-A,Laguna,San Pedro City,"National Highway, Brgy. Nueva, San Pedro, Laguna",WESTLAKE MEDICAL CENTER,Private,N/A,General,Level 2,60,02-5538185/ 09177703271,medicalaffairs@westlakemed.com.ph,1/1/2025,12/31/2025
,331,REGION 4-A,Laguna,Santa Cruz,"P. Guevara St., Sitio Mapagmahal, Brgy. Pagsawitan, Sta. Cruz, Laguna","LAGUNA DOCTORS HOSPITAL, INC.",Private,N/A,General,Level 2,96,049-5013218/ 09293479727,lagunadoctors95@yahoo.com,1/1/2025,12/31/2025
,332,REGION 4-A,Laguna,Santa Cruz,"#1824 J. De Leon St., Brgy. Pagsawitan, Sta. Cruz, Laguna","LAGUNA HOLY FAMILY HOSPITAL, INC.",Private,N/A,General,Level 2,70,049-5011278/ 5011280 / 5013567/ 09062246657,LHFH2014@gmail.com,1/1/2025,12/31/2025
,333,REGION 4-A,Laguna,Santa Cruz,"#780 National Highway, Brgy. Patimbao, Sta. Cruz, Laguna",SANTA CRUZ LAGUNA POLYMEDIC INC.,Private,N/A,General,Level 1,17,(049) 501-9377,polymedichospital14@yahoo.com,1/1/2025,12/31/2025
,334,REGION 4-A,Laguna,Santa Rosa City,"Provincial Road, Brgy. Balibago, City Of Santa Rosa, Laguna","BALIBAGO POLYCLINIC AND HOSPITAL, INC.",Private,N/A,General,Level 1,12,049-5341591,bphssr1996@gmail.com,1/1/2025,12/31/2025
,335,REGION 4-A,Laguna,Santa Rosa City,"Rizal Blvd., Brgy. Tagapo, Sta. Rosa City, Laguna",CITYMEDIC EMERGENCY HOSPITAL CORP.,Private,N/A,General,Level 1,25,049-8316867/ 09679165969,citymedic4a@yahoo.com,1/1/2025,12/31/2025
,336,REGION 4-A,Laguna,Santa Rosa City,"816-A Rizal Blvd., Tagapo, Sta. Rosa City, Laguna","MARIAN HOSPITAL OF STA. ROSA, INC.",Private,N/A,General,Level 1,28,049-5844483/ 5844497,marian08_hospital@yahoo.com,1/1/2025,12/31/2025
,337,REGION 4-A,Laguna,Santa Rosa City,"Mariquita Pueblo, Dita, Sta. Rosa City, Laguna","ST. JAMES HOSPITAL, INC.",Private,N/A,General,Level 2,80,049-5020058/ 09228293479/ 09228424330,stjames1993@yahoo.com,1/1/2025,12/31/2025
,338,REGION 4-A,Laguna,Santa Rosa City,"Rsbs Blvd., San Lorenzo South Balibago, Sta. Rosa City, Laguna","UNIHEALTH-STA. ROSA HOSPITAL AND MEDICAL CENTER, INC. (FORMERLY STA. ROSA HOSPITAL AND MEDICAL CENTER)",Private,N/A,General,Level 2,99,049-5080915,sydney_sapno@yahoo.com,1/1/2025,12/31/2025
,339,REGION 4-A,Laguna,Siniloan,"L. De Leon St., Brgy. Acevida, Siniloan, Laguna","SINILOAN PIONEER GENERAL HOSPITAL, INC.",Private,N/A,General,Level 1,12,(049) 523-0235/ 09190784526,siniloanprioneer2022@gmail.com,1/1/2025,12/31/2025
,340,REGION 4-A,Laguna,Sta. Maria,"National Highway, Tagapo, Santa Rosa City, Laguna",NEW SINAI MDI HOSPITAL,Private,N/A,General,Level 2,66,(02)7759-0634,qmsoffice@newsinaimdi.com,1/1/2025,12/31/2025
,341,REGION 4-A,Laguna,Sta. Rosa City,"West Nature, Nuvali North, Brgy. Sto. Domingo, Sta. Rosa City, Laguna",HEALTHWAY QUALIMED HOSPITAL SANTA ROSA,Private,N/A,General,Level 2,102,9178586632,information.str@qualimed.com.ph,1/1/2025,12/31/2025
,342,REGION 4-A,Laguna,Sta. Rosa City,"Greenfield City, Brgy. Don Jose, Sta. Rosa City, Laguna",THE MEDICAL CITY SOUTH LUZON,Private,N/A,General,Level 2,100,(049)3033000,tmcsl-custumercare@themedicalcity.com,1/1/2025,12/31/2025
,343,REGION 4-A,Quezon,Atimonan,"147 Quezon Street, Brgy. Zone I, Poblacion, Atimonan, Quezon","NUESTRA SEÑORA DE LOS ANGELES GENERAL HOSPITAL, INC.",Private,N/A,General,Level 1,15,9171525122/ 09391372285,nsdagenhos2015@yahoo.com,1/1/2025,12/31/2025
,344,REGION 4-A,Quezon,Calauag,"Manuel L. Quezon Street, Brgy. Poblacion Dos, Calauag, Quezon",CALAUAG ST. PETER GENERAL HOSPITAL INC.,Private,N/A,General,Level 1,29,9312195706,spgeneralhospital@gmail.com,1/1/2025,12/31/2025
,345,REGION 4-A,Quezon,Candelaria,"Regidor St., Brgy. Poblacion, Candelaria, Quezon","PETER PAUL MEDICAL CENTER OF CANDELARIA, INC.",Private,N/A,General,Level 2,60,425854531,qad@ppmcci.com,1/1/2025,12/31/2025
,346,REGION 4-A,Quezon,Candelaria,"Maharlika Highway, Brgy. Mangilag Sur, Candelaria, Quezon","UNITED CANDELARIA DOCTORS, INC.",Private,N/A,General,Level 2,82,042-5852114/ 09199871360/ 09209504875,"unitedcandelariadoctorshospital@gmail,com",1/1/2025,12/31/2025
,347,REGION 4-A,Quezon,Gumaca,"Km.194, Maharlika Highway, Brgy. Rosario, Gumaca, Quezon","RAKKK PROPHET MEDICAL CENTER, INC.",Private,N/A,General,Level 2,50,042-3178170/ 09178324993,rakkkpmci@yahoo.com,1/1/2025,12/31/2025
,348,REGION 4-A,Quezon,Gumaca,"E. Aguinaldo Cor. Tanada St., San Diego De Alcala Pob. Gumaca, Quezon",SAN DIEGO DE ALCALA HOSPITAL,Private,N/A,General,Level 1,20,042-3174829/ 09230206220,sdagh_gumaca@yahoo.com,1/1/2025,12/31/2025
,349,REGION 4-A,Quezon,Lopez,"Maharlika Highway, Brgy. Danlagan, Lopez, Quezon","LOPEZ SAINT JUDE GENERAL HOSPITAL, CORP.",Private,N/A,General,Level 1,65,049-5361982/ 09171256491/ 09081243009,lopezstjude@yahoo.com,1/1/2025,12/31/2025
,350,REGION 4-A,Quezon,Lucban,"National Highway, Tinamnan, Lucban, Quezon",LUCBAN MMG HOSPITAL,Private,N/A,General,Level 1,30,042-5408312/ 0956538661,hospitallucbanmmg@yahoo.com,1/1/2025,12/31/2025
,351,REGION 4-A,Quezon,Lucena City,"Red V, Maharlika Highway, Ibabang Dupay, Lucena City, Quezon",LUCENA MMG GENERAL HOSPITAL,Private,N/A,General,Level 2,122,042-3735925,lucenammghosp@yahoo.com,1/1/2025,12/31/2025
,352,REGION 4-A,Quezon,Lucena City,"Barangay Isabang, 2Nd District, Lucena City, Quezon",LUCENA UNITED DOCTORS HOSPITAL AND MEDICAL CENTER,Private,N/A,General,Level 2,95,9178760031,ludhmc@yahoo.com.ph,1/1/2025,12/31/2025
,353,REGION 4-A,Quezon,Lucena City,"Allarey Extension, Brgy. I, Lucena City, Quezon",MOUNT CARMEL DIOCESAN GENERAL HOSPITAL,Private,N/A,General,Level 2,178,042-7102576-77,mcdgh_lucena@yahoo.com,1/1/2025,12/31/2025
,354,REGION 4-A,Quezon,Lucena City,"P. Gomez Ext., Red V, Brgy. Ibabang Dupay, Lucena City","ST. ANNE GENERAL HOSPITAL, INC.",Private,N/A,General,Level 2,80,042-7102218/ 09228985922,saghiofficial@yahoo.com.ph,1/1/2025,12/31/2025
,355,REGION 4-A,Quezon,Sariaya,"National Hi-way, Gibanga, Sariaya, Quezon","ACE MEDICAL CENTER SARIAYA, INC.",Private,N/A,General,Level 2,75,(042) 795 2808 / 0917-309-8870,acemcsariaya.official@gmail.com,1/1/2025,12/31/2025
,356,REGION 4-A,Quezon,Tayabas,"National Road, Brgy. Wakas, Tayabas, Quezon","TAYABAS COMMUNITY HOSPITAL, INC.",Private,N/A,General,Level 2,80,09215556891/09158874180,tchiqisd@gmail.com,1/1/2025,12/31/2025
,357,REGION 4-A,Quezon,Tayabas City,"Lot Nos. 957-E & 964 Maharlika Road, Brgy. Isabang, City Of Tayabas, Quezon","UNIHEALTH-QUEZON HOSPITAL AND MEDICAL CENTER, INC.",Private,N/A,General,Level 2,50,9176231652,unihealthquezon.licensing@gmail.com,1/1/2025,12/31/2025
,358,REGION 4-A,Rizal,Angono,"#1 Rainbow Village, Quezon Avenue, Angono, Rizal",ANGONO MEDICS HOSPITAL,Private,N/A,General,Level 1,40,451-1996 loc 110/ 09774574841,angonomedicshospital@yahoomail.com,1/1/2025,12/31/2025
,359,REGION 4-A,Rizal,Angono,"#131 ML Quezon Avenue, Sto. Niño, Angono, Rizal",SAN ISIDRO HOSPITAL,Private,N/A,General,Level 1,16,4512398/ 4510365,sanisidro_hospital1119@yahoo.com,1/1/2025,12/31/2025
,360,REGION 4-A,Rizal,Antipolo City,224 SUMULONG HIGHWAY MAYAMOT ANTIPOLO CITY,"ANTIPOLO CENTRO DE MEDIKAL HOSPITAL INC.,",Private,N/A,General,Level 1,25,0926-757-83-80,centrocares2023@gmail.com,1/1/2025,12/31/2025
,361,REGION 4-A,Rizal,Antipolo City,"M.L. Quezon Extension Brgy. Dalig, Antipolo City",ANTIPOLO DOCTORS HOSPITAL,Private,N/A,General,Level 1,77,02-86508269/ 09279176272,antipolo_dochosp@yahoo.com,1/1/2025,12/31/2025
,362,REGION 4-A,Rizal,Antipolo City,"Sumulong Highway, Dela Paz, Antipolo City, Rizal","ASSUMPTION SPECIALTY HOSPITAL AND MEDICAL CENTER, INC.",Private,N/A,General,Level 2,100,8-2485500,assumptionbod@gmail.com,1/1/2025,12/31/2025
,363,REGION 4-A,Rizal,Antipolo City,"Bufer Bldg., Avatec Road, Mayamot, Antipolo City, Rizal","BLESSED TRINITY MATERNITY AND MEDICAL HOSPITAL, INC.",Private,N/A,General,Level 1,12,86815291,btmmhlab@gmail.com,2/2/2025,12/31/2025
,364,REGION 4-A,Rizal,Antipolo City,"Lot 4, Sen. Lorenzo Sumulong Memorial Circle, Brgy. Dela Paz, Antipolo City, Rizal","CLINICA ANTIPOLO HOSPITAL AND WELLNESS CENTER, INC.",Private,N/A,General,Level 2,70,86959480-87 Loc 242,cahwci.medicalrecords2018@gmail.com,1/1/2025,12/31/2025
,365,REGION 4-A,Rizal,Antipolo City,"#8001 Marcos Highway, Mayamot, Antipolo City","DIONISIO M. CORNEL MEDICAL CENTER, INC.",Private,N/A,General,Level 1,30,286450411,cornelmedicalcenter2022@gmail.com,1/1/2025,12/31/2025
,366,REGION 4-A,Rizal,Antipolo City,"Km. 23, Sumulong Highway, Sta. Cruz, Antipolo City, Rizal",FATIMA UNIVERSITY MEDICAL CENTER ANTIPOLO CORP.,Private,N/A,General,Level 2,100,29-2112400,ysantosmd@yahoo.com,1/1/2025,12/31/2025
,367,REGION 4-A,Rizal,Antipolo City,"1348 Marcos Highway, Brgy. Mayamot, Antipolo City","METRO ANTIPOLO HOSPITAL AND MEDICAL CENTER, INC.",Private,N/A,General,Level 2,109,9190866445,metroantipolohospital@yahoo.com,1/1/2025,12/31/2025
,368,REGION 4-A,Rizal,Antipolo City,"21 Sumulong St.,San Jose, Antipolo City, Rizal",SANTANA MATERNITY AND CHILDREN'S HOSPITAL,Private,N/A,General,Level 1,30,9260829689,santanamaternityhospital@gmail.com,1/1/2025,12/31/2025
,369,REGION 4-A,Rizal,Antipolo City,144 San Jose St. Brgy San Isidro Antipolo City,SORIANO - LEYBLE MEDICAL AND MATERNITY HOSPITAL,Private,N/A,General,Level 1,30,8697-1659,slmmhospital@yahoo.com,1/1/2025,12/31/2025
,370,REGION 4-A,Rizal,Antipolo City,"Lot 7 Marcos Highway, Brgy. Mambugan, Antipolo City, Rizal",UNITED ANTIPOLO SPECIALISTS HOSPITAL AND MEDICAL CENTER INC.,Private,N/A,General,Level 2,25,9622440282,"uashmc.hosp@gmail,com",1/1/2025,12/31/2025
,371,REGION 4-A,Rizal,Binangonan,"Km. 31, Manila East Road, Barangay Tagpos, Binangonan, Rizal","BINANGONAN LAKEVIEW HOSPITAL, INC.",Private,N/A,General,Level 2,88,5700791/5708663 loc. 124,binangonanlakeview@hotmail.com,1/1/2025,12/31/2025
,372,REGION 4-A,Rizal,Binangonan,"#899 National Road, Brgy. Pag-Asa, Binangonan, Rizal",PAG-ASA HOSPITAL,Private,N/A,General,Level 1,27,84512180/ 09228957541/ 09178210359/ 09982775151,pagasa_hospital@yahoo.com,1/1/2025,12/31/2025
,373,REGION 4-A,Rizal,Cainta,"156 Marick Drive, Marick Subdivision, Brgy. Sto. Domingo, Cainta, Rizal",METRO RIZAL DOCTORS HOSPITAL AND HEALTH SERVICES COOPERATIVE,Private,N/A,General,Level 1,35,8251-69-22,metrodocs@ymail.com,1/1/2025,12/31/2025
,374,REGION 4-A,Rizal,Cainta,"Km. 21 Ortigas Ave. Extension Cor. Brookside Hills Subd., Brgy. San Isidro, Cainta, Rizal","ORTIGAS HOSPITAL AND HEALTHCARE CENTER, INC.",Private,N/A,General,Level 2,110,8-246-6555,medicalaffairs23@gmail.com,1/1/2025,12/31/2025
,375,REGION 4-A,Rizal,Cardona,"National Road, Brgy. Calahan, Cardona, Rizal","QUEEN MARY HELP OF CHRISTIANS HOSPITAL, INC.",Private,N/A,General,Level 1,17,213-5245/ 09173217633/ 09361887558,qmhci@gmail.com,1/1/2025,12/31/2025
,376,REGION 4-A,Rizal,Morong,"491 Governor Martinez St., San Juan, Morong, Rizal","MORONG DOCTORS' HOSPITAL, INC.",Private,N/A,General,Level 1,35,86532491/ 09171627117,morongdoctorshospital_66@yahoo.com,1/1/2025,12/31/2025
,377,REGION 4-A,Rizal,Rodriguez,"#82 J.P. Rizal St., Manggahan, Rodriguez, Rizal",H VILL HOSPITAL,Private,N/A,General,Level 1,25,9610958446/ 89971284,hvhchiefnurse@yahoo.com.ph,1/1/2025,12/31/2025
,378,REGION 4-A,Rizal,San Mateo,"General Luna St., Balante, Ampid I, San Mateo, Rizal","PADRE PIO MATERNITY AND MEDICAL HOSPITAL, INC.",Private,N/A,General,Level 1,25,86568558/ 86563475/ 09670282593,padrepio_hospital@yahoo.com,1/1/2025,12/31/2025
,379,REGION 4-A,Rizal,San Mateo,"227 Gen. Luna Ave., Guitnang Bayan I, San Mateo, Rizal",SAN MATEO DOCTORS HOSPITAL,Private,N/A,General,Level 1,20,"09553014305
09178540574",sanmateodoctors@yahoo.com,5/3/2025,12/31/2025
,380,REGION 4-A,Rizal,San Mateo,"#156 Gen. Luna Ave., Brgy. Ampid 2, San Mateo, Rizal",SAN MATEO MEDICAL CENTER,Private,N/A,General,Level 2,100,28539140029,sanmateomedicalcenterampid@gmail.com,1/1/2025,12/31/2025
,381,REGION 4-A,Rizal,San Mateo,"60 Gen. Luna St., Banaba, San Mateo Rizal","ST. MATTHEUS MEDICAL HOSPITAL, INC",Private,N/A,General,Level 1,40,02-7-7961487/ 0917-8581702,jhenric_laudencia@yahoo.com,1/1/2025,12/31/2025
,382,REGION 4-A,Rizal,Tanay,Ft Catapusan St Plaza Aldea Tanay Rizal,TANAY GENERAL HOSPITAL INC.,Private,N/A,General,Level 1,17,286541049,tanaygenhospital@yahoo.com,1/1/2025,12/31/2025
,383,REGION 4-A,Rizal,Taytay,"Manila East Road, Brgy. Dolores, Taytay, Rizal",MANILA EAST MEDICAL CENTER,Private,N/A,General,Level 2,99,6600000/ 09228633479,manilaeast@yahoo.com,1/1/2025,12/31/2025
,384,REGION 4-A,Rizal,Taytay,"#6 Rizal Avenue , Taytay Rizal",TAYTAY DOCTORS MULTISPECIALTY HOSPITAL,Private,N/A,General,Level 1,70,9351398370/ 09951240893,tdmhnso@yahoo.com,1/1/2025,12/31/2025
,385,REGION 4-A,Rizal,Taytay,Rizal Avenue Corner Isagani St. Taytay Rizal,TAYTAY MATERNITY AND CHILD CARE CENTER,Private,N/A,General,Level 1,15,(02) 8570 5284/ 09179967244,tmcccnso@gmail.com,1/1/2025,12/31/2025
,386,REGION 4-A,Rizal,Teresa,"J. Sumulong Ave., Brgy. Bagumbayan, Teresa, Rizal",ST. THERESE DE LIMA MEDICAL HOSPITAL,Private,N/A,General,Level 1,35,4005193/ 09267576842,st.therese_hospital@yahoo.com,1/1/2025,12/31/2025
,387,REGION 4-B,Oriental Mindoro,Calapan City,"Medrano Cor. Tm Kalaw, Brgy. Ilaya,
Población",HOSPITAL OF THE HOLY CROSS,Private,N/A,General,Level 1,18,"(043) 228-4470
(043) 441-0560",hhc_calapan@yahoo.com.ph,1/1/2025,12/31/2025
,388,REGION 4-B,Oriental Mindoro,Calapan City,"Jp Rizal St., Brgy. Lalud",LUNA GOCO MEDICAL CENTER INC.,Private,N/A,General,Level 1,30,(043) 288-2473,hrlunagocomedicalcenter@gmail.com,1/1/2025,12/31/2025
,389,REGION 4-B,Oriental Mindoro,Calapan City,Brgy. Tawiran,"MARIA ESTRELLA GENERAL HOSPITAL, INC.",Private,N/A,General,Level 2,95,n/a,megh2k6@yahoo.com,1/1/2025,12/31/2025
,390,REGION 4-B,Oriental Mindoro,Calapan City,"Jp Rizal St., Brgy. Tawiran",MEDICAL MISSION GROUP HOSPITAL MULTI-PURPOSE COOPERATIVE OF ORIENTAL MINDORO,Private,N/A,General,Level 2,50,"(043) 288-2275
(043) 286-7080",mmg.ormin@gmail.com,1/1/2025,12/31/2025
,391,REGION 4-B,Oriental Mindoro,Calapan City,"Strong Republic Nautical Highway, Masipit","MINDORO MEDICAL CENTER-CALAPAN, INC.",Private,N/A,General,Level 2,100,,mindoromedoffice@gmail.com,1/1/2025,12/31/2025
,392,REGION 4-B,Oriental Mindoro,Calapan City,"Block 4, Sta. Maria Village","STA. MARIA VILLAGE HOSPITAL, INC.",Private,N/A,General,Level 1,17,"(043) 288-8342
(043) 288-4147",smvhospitalinc@gmail.com,1/1/2025,12/31/2025
,393,REGION 4-B,Oriental Mindoro,Pinamalayan,"Francisco St., Marfrancisco",PINAMALAYAN DOCTORS HOSPITAL,Private,N/A,General,Level 1,23,"(043) 443-1220
(043) 284-4383",pinamalayandoctors@yahoo.com,1/1/2025,12/31/2025
,394,REGION 4-B,Oriental Mindoro,Socorro,"Strong Nautical Highway,
Brgy. Catiningan",GRACE MISSION HOSPITAL. INC.,Private,N/A,General,Level 1,15,(043) 284-5293,gracemissionhospitalinc@gmail.com,1/1/2025,12/31/2025
,395,REGION 4-B,Palawan,Bataraza,"Nickel Ave., Rtnmc, Brgy. Rio Tuba",RTN FOUNDATION INC. HOSPITAL,Private,N/A,General,Level 1,30,n/a,rtnfihospital96@gmail.com,1/1/2025,12/31/2025
,396,REGION 4-B,Palawan,Brooke's Point,"National Highway, Población Ii","BERACHAH GENERAL HOSPITAL, INC.",Private,N/A,General,Level 1,39,n/a,berachahgeneralhospital@gmail.com,1/1/2025,12/31/2025
,397,REGION 4-B,Palawan,Brooke's Point,Brgy. Pangobilian,"LEONCIO GENERAL HOSPITAL, INC.",Private,N/A,General,Level 1,35,n/a,leonciohospital@gmail.com,1/1/2025,12/31/2025
,398,REGION 4-B,Palawan,Brooke's Point,"Moreno Subdivision, Poblacion District Ii","SAGRADO HOSPITAL, INC.",Private,N/A,General,Level 1,40,n/a,sagradohospitalinc@gmail.com,1/1/2025,12/31/2025
,399,REGION 4-B,Palawan,Puerto Princesa City,Brgy. San Pedro,ADVENTIST HOSPITAL PALAWAN-INC.,Private,N/A,General,Level 2,116,(048) 433-1247,admin@adventisthealth-pwn.com,1/1/2025,12/31/2025
,400,REGION 4-B,Palawan,Puerto Princesa City,"South National Highway, Brgy. San Pedro","ALLIED CARE EXPERTS (ACE) MEDICAL CENTER - PALAWAN, INC.",Private,N/A,General,Level 2,70,(048) 717-0019,acemcprespalawan@gmail.com,1/1/2025,12/31/2025
,401,REGION 4-B,Palawan,Puerto Princesa City,Corner Burgos And Mabini Sts.,PALAWAN MEDICAL MISSION GROUP MULTIPURPOSE COOPERATIVE (PMMGMPC),Private,N/A,General,Level 2,120,"(048) 433-3038
(048) 434-5580",mmg_ptopal@yahoo.com,1/1/2025,12/31/2025
,402,REGION 4-B,Romblon,Odiongan,Brgy. Tulay,ISIAH HOSPITAL AND MEDICAL CENTER,Private,N/A,General,Level 1,22,(042) 567-6789,isiah_hospital@yahoo.com,1/1/2025,12/31/2025
,403,REGION 5,Albay,Daraga,"Rizal St., Bgy. Bañag, Daraga, Albay","DARAGA DOCTORS’ HOSPITAL, INC.",Private,N/A,General,Level 2,83,"(052) 204-9617 /
0917-700-2950",ddh_hospital@yahoo.com,1/1/2025,12/31/2025
,404,REGION 5,Albay,Legazpi City,Rizal St. Legazpi City,AGO GENERAL HOSPITAL,Private,N/A,General,Level 1,25,9561651829,agogeneralhospital@yahoo.com,1/1/2025,12/31/2025
,405,REGION 5,Albay,Legazpi City,"Peñaranda Street, Legazpi City, Albay","ALBAY DOCTORS’ HOSPITAL, INC.",Private,N/A,General,Level 2,55,9985469453,adh_hospital@yahoo.com,1/1/2025,12/31/2025
,406,REGION 5,Albay,Legazpi City,"Daraga-Legazpi Diversion Road, Bogtong Legazpi City, Albay","ALLIED CARE EXPERTS (ACE) MEDICAL CENTER-LEGAZPI, INC.",Private,N/A,General,Level 2,102,(+63) 975-372-9932/ (+63) 917-185-2764,acemclegazpi@gmail.com,1/1/2025,12/31/2025
,407,REGION 5,Albay,Legazpi City,"Don Juan S. Estevez St., Guevarra Subd.,","ESTEVEZ MEMORIAL HOSPITAL, INC.",Private,N/A,General,Level 2,62,"052-480-4021
09189247495",emh@estevezhospital.com / mlv.estz@gmail.com / estevezmemorialhospitalinc@gmail.com,1/1/2025,12/31/2025
,408,REGION 5,Albay,Legazpi City,"Imperial Court Subdivision, Rizal St., Legazpi City, Albay","TANCHULING GENERAL HOSPITAL, INC.",Private,N/A,General,Level 2,50,0977-3774791,tghlegazpi@gmail.com,1/1/2025,12/31/2025
,409,REGION 5,Albay,Ligao City,"Diversion Road, Binatagan, Ligao City, Albay","ZONE MEDICAL INTERVENTION HOSPITAL, INC.",Private,N/A,General,Level 1,51,9209286822,zmihospital@gmail.com,1/1/2025,12/31/2025
,410,REGION 5,Albay,Tabaco City,"Ruivivar St, Tayhi, Tabaco City, Albay","DR. AMANDO D. COPE MEMORIAL HOSPITAL, INC.",Private,N/A,General,Level 1,72,"0966-193-5023
0949-146-5891",cope_hospital@yahoo.com,1/1/2025,12/31/2025
,411,REGION 5,Albay,Tabaco City,"Karangahan Boulevard, Purok 3 Bombon, Tabaco City, Albay",JAIME B. BERCES MEMORIAL HOSPITAL,Private,N/A,General,Level 1,35,9664203176,jbbmh@yahoo.com,1/1/2025,12/31/2025
,412,REGION 5,Albay,,"Purok Santol, Nagas, Tiwi, Albay",TIWI DOCTORS HOSPITAL,Private,N/A,General,Level 1,20,9683597893,tiwidoctorshospital@gmail.com,1/1/2025,12/31/2025
,413,REGION 5,Bicol,Legazpi City,"Captain F. Aquende Drive, Legazpi City","UNIVERSITY OF SANTO TOMAS (UST) – LEGAZPI, INC.",Private,N/A,General,Level 2,50,9176263148,ustlegazpihospital@gmail.com,1/1/2025,12/31/2025
,414,REGION 5,Camarines Norte,Daet,"Governor Panotes Avenue, Brgy Vii, Daet, Camarines Norte",DAET DOCTORS HOSPITALINCORPORATED,Private,N/A,General,Level 1,72,054-8755592,ddhiofficial@gmail.com,1/1/2025,12/31/2025
,415,REGION 5,Camarines Norte,Daet,"138 Magallanes Iraya Camambugan, Daet, Camarines Norte",DR. MOISES V. CACAWA MEMORIAL HOSPITAL,Private,N/A,General,Level 1,17,9175665285,moisescacawamemorialhospital@gmail.com,1/1/2025,12/31/2025
,416,REGION 5,Camarines Norte,Daet,"Vinzons Avenue, Barangay Lag-On, Daet, Camarines Norte",OUR LADY OF LOURDES HOSPITAL,Private,N/A,General,Level 2,50,(052) 721 2664 / 09209618125,ollhdcn143@gmail.com,1/1/2025,12/31/2025
,417,REGION 5,Camarines Norte,Daet,"Diversion Road, Camambugan, Daet, Camarines Norte",SANTISSIMA TRINIDAD HOSPITAL OF DAET,Private,N/A,General,Level 1,25,9657916992,santissima_19@yahoo.com,1/1/2025,12/31/2025
,418,REGION 5,Camarines Norte,Santa Elena,"M. Roxas St., Poblacion, Sta. Elena, Camarines Norte",ROSARY OF VIRGIN MARY HOSPITAL,Private,N/A,General,Level 1,29,"054-8850764/
09151970072",rovimahospital@gmail.com,1/1/2025,12/31/2025
,419,REGION 5,Camarines Sur,Daet,"1328 Dasmariñas St., Brgy. 8, Daet,","LEON D. HERNANDEZ MEMORIAL HOSPITAL, INC.",Private,N/A,General,Level 2,150,9152495330,ldhmh_docs@yahoo.com,1/1/2025,12/31/2025
,420,REGION 5,Camarines Sur,Goa,"San Jose Street, Goa, Camarines Sur","ST. JOHN HOSPITAL, INC. (GOA-NAGA CITY)",Private,N/A,General,Level 1,18,9516184622,st.johnhospitalinc_goa@yahoo.com,1/1/2025,12/31/2025
,421,REGION 5,Camarines Sur,Iriga City,"Highway 1, San Roque, Iriga City",CHMSC LOURDES HOSPITAL,Private,N/A,General,Level 1,40,9089993484,lhiriga@yahoo.com.ph,1/1/2025,12/31/2025
,422,REGION 5,Camarines Sur,Iriga City,"029 High Way 1, San Jose, Iriga City, Camarines Sur",OUR LADY OF MEDIATRIX HOSPITAL,Private,N/A,General,Level 1,50,9173245239,mediatrixhospital@yahoo.com,1/1/2025,12/31/2025
,423,REGION 5,Camarines Sur,Iriga City,"Zone 2, Servants Of Jesus Avenue, Francia, Iriga City","STA. MARIA JOSEFA HOSPITAL FOUNDATION, INC.",Private,N/A,General,Level 1,100,"09772010392
09568126931",filipinas_stamariajosefa@yahoo.com,1/1/2025,12/31/2025
,424,REGION 5,Camarines Sur,Iriga City,"Highway 1, San Jose, Iriga City",VILLANUEVA-TANCHULING MATERNITY & GENERAL HOSPITAL INCORPORATED,Private,N/A,General,Level 1,25,9772404860,vtanchulinghospital@gmail.com,1/1/2025,12/31/2025
,425,REGION 5,Camarines Sur,Nabua,"Sta. Elena, Baras, Nabua, Camarines Sur",MEDICAL MISSION GROUP HOSPITAL & HEALTH SERVICES COOPERATIVE OF CAMARINES SUR,Private,N/A,General,Level 1,36,"054-5555/
2881156/
09190789902",mmgcamsur@yahoo.com.ph,1/1/2025,12/31/2025
,426,REGION 5,Camarines Sur,Naga City,"Central Business District Ii, Barangay Triangulo, Naga City, Camarines Sur",BICOL ACCESS HEALTH CENTRUM,Private,N/A,General,Level 2,50,9999906605,bicolaccesshealthcentrum2015@yahoo.com.ph,1/1/2025,12/31/2025
,427,REGION 5,Camarines Sur,Naga City,"Cbd2, Roxas Avenue, Diversion Road, Triangulo, Naga City",NICC DOCTORS’ HOSPITAL,Private,N/A,General,Level 2,156,9989762313,"info@niccdoctorshospital.com
niccdoctorshospital@gmail.com",1/1/2025,12/31/2025
,428,REGION 5,Camarines Sur,Naga City,"Panganiban Drive, Tinago, Naga City","ST. JOHN HOSPITAL, INC.",Private,N/A,General,Level 1,15,542063734,stjohn72_naga_4400@yahoo.com,1/1/2025,12/31/2025
,429,REGION 5,Camarines Sur,Naga City,"Roxas Avenue, Triangulo, Naga City, Camarines Sur","UNIVERSIDAD DE STA. ISABEL DE NAGA, INC.",Private,N/A,General,Level 3,100,(2000) 205-0147,mshospital2004@yahoo.com,1/1/2025,12/31/2025
,430,REGION 5,Catanduanes,Virac,"Barangay Valencia, Virac, Catanduanes","CATANDUANES DOCTORS HOSPITAL, INC.",Private,N/A,General,Level 2,60,9694452674,information.cdhi@gmail.com,1/1/2025,12/31/2025
